Plasmid,Copy Number,Probability
pSC101,0,0.05281174
pSC101,0.965479342,0.184692987
pSC101,2.084161726,0.208812398
pSC101,2.996177016,0.156810776
pSC101,3.978533247,0.127489898
pSC101,4.944304622,0.092883271
pSC101,5.981557703,0.057815757
pSC101,6.946150396,0.029783088
pSC101,7.925598863,0.022087491
pSC101,8.97072923,0.01003054
pSC101,12.00537735,0.005000724
pSC101,12.96220211,0.002325355
pSC101,14.00944685,0.003088163
pSC101,15.01314017,0.001174534
pSC101,15.98803615,0.003098223
pSC101,17.02623816,0.000771968
pSC101,18.10937073,0.000390477
pSC101,19.93549679,0.002708497
pSC101,20.8939258,0.000385775
pSC101,22.80615667,0.000781244
pSC101,25.07632132,0.001137715
pSC101,23.94326754,0.000784771
pSC101,27.22667859,0.000389489
pSC101,28.85469134,0.000768165
pSC101,35.21739904,0.000387034
pSC101,42.08796495,0.000376947
pSC101,67.95751909,0.000376947
pSC101,9.910805414,0.005796394
pSC101,11.03574245,0.004641589
p15A,0,0.033343496
p15A,1.008461475,0.05385914
p15A,2.996177016,0.081962704
p15A,3.976706955,0.082154551
p15A,4.980327944,0.080162352
p15A,7.211850481,0.065421367
p15A,10.14435884,0.041997765
p15A,12.98425746,0.029347629
p15A,15.9108473,0.017554929
p15A,18.9390684,0.010466553
p15A,21.74003868,0.006369312
p15A,24.56504949,0.004123448
p15A,27.4843277,0.004111197
p15A,30.13927209,0.002483469
p15A,36.44537582,0.001660312
p15A,38.85778094,0.001044045
p15A,42.08796495,0.001430664
p15A,45.25693492,0.000621969
p15A,47.96306253,0.000211807
p15A,47.61613982,0.000278479
p15A,50.83100239,0.00103469
p15A,54.92343597,0.000415272
p15A,57.92654858,0.000209128
p15A,65.53509157,0.000419599
p15A,64.59047353,0.000818346
p15A,77.53993296,0.000208507
p15A,86.98212855,0.000208042
p15A,94.13918601,0.00020799
p15A,116.2890634,0.00020864
p15A,142.5000648,0.000207764
p15A,71.14429462,0.000206914
p15A,33.51905984,0.001832981
ColE1,0,0.013711236
ColE1,1.008461475,0.014237172
ColE1,2.974505301,0.022859459
ColE1,7.107899393,0.03770817
ColE1,11.81494611,0.043395138
ColE1,16.61918162,0.039208018
ColE1,21.27169754,0.021895238
ColE1,26.06623692,0.016768655
ColE1,31.0272756,0.010744237
ColE1,35.87550839,0.005889086
ColE1,40.54741579,0.002668896
ColE1,46.25336147,0.002653652
ColE1,50.48651068,0.001400098
ColE1,59.63325797,0.001158382
ColE1,75.59227647,0.000458431
ColE1,82.42970159,0.000232255
ColE1,87.45835582,0.000115773
ColE1,104.5439642,0.000231967
ColE1,101.5720712,0.000116282
ColE1,120.4380045,0.000116118
ColE1,136.0967733,0.000225725
ColE1,155.4703995,0.000116213
ColE1,55.35930911,0.001623777
ColE1,65.04734456,0.000579639
ColE1,68.63977883,0.000464159
ColE1,93.08326223,0.000231225
ColE1,96.47966741,0.000115187
ColE1,111.3506117,0.000115187
ColE1,133.2028812,0.000115187
pUC,0,0.010313521
pUC,1.00116715,0.003757312
pUC,6.514912986,0.009536953
pUC,19.78221597,0.012394056
pUC,32.64470066,0.012578939
pUC,45.25693492,0.010868029
pUC,58.77370854,0.008323373
pUC,72.0210227,0.005429939
pUC,84.49269194,0.004520552
pUC,98.99269055,0.002292744
pUC,112.9608596,0.00257873
pUC,124.1404634,0.001874177
pUC,137.4835886,0.000932493
pUC,164.2074374,0.000867015
pUC,175.971921,0.000793724
pUC,187.7666515,0.000645826
pUC,202.7608867,0.000433712
pUC,215.53617,0.000220252
pUC,229.3073585,0.000434389
pUC,271.5042863,0.000362788
pUC,282.5910629,0.000214911
pUC,289.8963833,0.000145898
pUC,328.3809702,0.000216972
pUC,355.6787451,0.000141482
pUC,148.3222229,0.000922385
pUC,309.223416,0.000143845